"COL_NAME"	"COLLABEL"	"EXT_DESC"	"DATATYPE"	"COLWIDTH"	"COL_FMT"	"UNITS"	"PRMRYKEY"	"MINIMUM"	"MAXIMUM"	"MISSVALS"	"WT_NAME"	"WT_TYPE"	"COMMENTS"	"CHECKSUM"	"COL_NUM"
"MATRIX"	"Sampling medium"	""	"NUMBER"	2	"F2.0"	""	""	"6"	"6"	""	""	"N"	"Important: Read about data constraints in the readme file or in EIMS"	"924"	1
"ANLYTCLS"	"Analyte class"	""	"CHARACTER"	1	"A1"	""	""	""	""	""	""	"N"	""	""	2
"SAMP_LOC"	"Sampling location"	""	"NUMBER"	2	"F2.0"	""	""	"12"	"12"	""	""	"N"	""	"1848"	3
"VISIT"	"Visit number for household"	""	"CHARACTER"	1	"A1"	""	""	""	""	""	""	"N"	""	""	4
"SAMPMTHD"	"Sampling method"	""	"NUMBER"	2	"F2.0"	""	""	"9"	"9"	""	""	"N"	""	"1386"	5
"SAMPDEVC"	"Sampling device"	""	"NUMBER"	2	"F2.0"	""	""	"10"	"10"	""	""	"N"	""	"1540"	6
"ANLYTMTH"	"Analytical method"	""	"NUMBER"	2	"F2.0"	""	""	"8"	"8"	""	""	"N"	""	"1232"	7
"SURVID"	"SURVID"	""	"CHARACTER"	8	"A8"	""	""	""	""	""	""	"N"	""	""	8
"PARID"	"Participant ID"	""	"CHARACTER"	3	"A3"	""	""	""	""	""	""	"N"	""	""	9
"STRTDATE"	"Start Date for Samp_id"	""	"NUMBER"	8	"F8.0"	""	""	"19950731"	"19970523"	""	""	"N"	""	"3073895370"	10
"STOPDATE"	"End Date for Samp_id"	""	"NUMBER"	8	"F8.0"	""	""	""	""	"-9999999"	""	"N"	""	"-1539999846"	11
"SAMP_ID"	"Sample ID"	""	"CHARACTER"	8	"A8"	""	"P"	""	""	""	""	"N"	""	""	12
"SMPTPCDC"	"Sample type code for concentration"	"Sample type code - combination of sampling medium, analyte class, sampling location, and sampling method"	"CHARACTER"	3	"A3"	""	""	""	""	""	""	"N"	""	""	13
"SMPTPCDL"	"Sample type code for loading"	"Sample type code - combination of sampling medium, analyte class, sampling location, and sampling method"	"CHARACTER"	3	"A3"	""	""	""	""	""	""	"N"	""	""	14
"SMPTPCDI"	"Sample type code for intake"	"Sample type code - combination of sampling medium, analyte class, sampling location, and sampling method"	"CHARACTER"	3	"A3"	""	""	""	""	""	""	"N"	""	""	15
"SAMPTYPE"	"Sample type description"	""	"CHARACTER"	25	"A25"	""	""	""	""	""	""	"N"	""	""	16
"REPFLG"	"Replicate flag"	""	"NUMBER"	1	"F1.0"	""	""	"0"	"1"	""	""	"N"	""	"8"	17
"APSU"	"Primary sampling unit"	""	"NUMBER"	2	"F2.0"	""	""	"2"	"33"	""	""	"N"	""	"2718"	18
"ASTRATUM"	"Analysis stratum"	""	"NUMBER"	1	"F1.0"	""	""	"1"	"4"	""	""	"N"	""	"366"	19
"VWTNAM"	"Name of visit-specific sampling wt"	""	"CHARACTER"	8	"A8"	""	""	""	""	""	""	"N"	""	""	20
"CWTNAM"	"Name of combined sampling wt"	""	"CHARACTER"	8	"A8"	""	""	""	""	""	""	"N"	""	""	21
"AWTNAM"	"Name of annualized sampling wt"	""	"CHARACTER"	8	"A8"	""	""	""	""	""	""	"N"	""	""	22
"VSAMPWT"	"Visit-specific sampling wt"	""	"NUMBER"	11	"F11.3"	""	""	"22541.422"	"1461988.089"	""	""	"N"	""	"47853028.823"	23
"CSAMPWT"	"Combined sampling wt"	""	"NUMBER"	11	"F11.3"	""	""	"22541.422"	"1461988.089"	""	""	"N"	""	"47853028.823"	24
"ASAMPWT"	"Annualized sampling wt"	""	"NUMBER"	11	"F11.3"	""	""	"19441.152"	"1770305.764"	""	""	"N"	""	"47878123.839"	25
"CIDV001"	"V001 - 1,1,1-TCA"	"V001 - 1,1,1-Trichloroethane: Chemid in Region_5 = 101"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	26
"CONCV001"	"CONC:1,1,1-TCA-Blood"	"Concentration for V001"	"NUMBER"	14	"F14.7"	""	""	".043"	"2.7"	""	""	"P"	""	"13.9595"	27
"DLCV001"	"CDTLM:1,1,1-TCA-Blood"	"Detection limit or Quantitation limit for CONCV001"	"NUMBER"	14	"F14.7"	""	""	""	""	"-333"	""	"N"	""	"-48285"	28
"USECV001"	"CDQFG:1,1,1-TCA-Blood"	"Data quality flag for CONCV001"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"5"	29
"CMTCV001"	"CDQI:1,1,1-TCA-Blood"	"Data quality indicator for CONCV001"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	30
"DFLCV001"	"CDTIN:1,1,1-TCA-Blood"	"100*Detection indicator for CONCV001"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"2000"	31
"UNTCV001"	"CUNIT:1,1,1-TCA-Blood"	"Measurement units  for CONCV001"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	32
"AN1CV001"	"FCONC:1,1,1-TCA-Blood"	"Final concentration for V001"	"NUMBER"	14	"F14.7"	""	""	".043"	"2.7"	""	""	"P"	""	"13.95235"	33
"AN2CV001"	"FCDTN:1,1,1-TCA-Blood"	"100*Detection indicator for AN1CV001"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"2000"	34
"CIDV010"	"V010 - 1,4-Dichlorobenzene"	"V010 - 1,4-Dichlorobenzene: Chemid in Region_5 = 110"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	35
"CONCV010"	"CONC:1,4-Dichlorobenzene-Blood"	"Concentration for V010"	"NUMBER"	14	"F14.7"	""	""	".068"	"7.4"	""	""	"P"	""	"58.19535"	36
"DLCV010"	"CDTLM:1,4-Dichlorobenzene-Blood"	"Detection limit or Quantitation limit for CONCV010"	"NUMBER"	14	"F14.7"	""	""	""	""	"-333"	""	"N"	""	"-48285"	37
"USECV010"	"CDQFG:1,4-Dichlorobenzene-Blood"	"Data quality flag for CONCV010"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"5"	38
"CMTCV010"	"CDQI:1,4-Dichlorobenzene-Blood"	"Data quality indicator for CONCV010"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	39
"DFLCV010"	"CDTIN:1,4-Dichlorobenzene-Blood"	"100*Detection indicator for CONCV010"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"8000"	40
"UNTCV010"	"CUNIT:1,4-Dichlorobenzene-Blood"	"Measurement units  for CONCV010"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	41
"AN1CV010"	"FCONC:1,4-Dichlorobenzene-Blood"	"Final concentration for V010"	"NUMBER"	14	"F14.7"	""	""	".068"	"7.4"	""	""	"P"	""	"58.4501"	42
"AN2CV010"	"FCDTN:1,4-Dichlorobenzene-Blood"	"100*Detection indicator for AN1CV010"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"8100"	43
"CIDV011"	"V011 - Benzene"	"V011 - Benzene: Chemid in Region_5 = 111"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	44
"CONCV011"	"CONC:Benzene-Blood"	"Concentration for V011"	"NUMBER"	14	"F14.7"	""	""	".028"	"2.2"	""	""	"P"	""	"37.51635"	45
"DLCV011"	"CDTLM:Benzene-Blood"	"Detection limit or Quantitation limit for CONCV011"	"NUMBER"	14	"F14.7"	""	""	""	""	"-333"	""	"N"	""	"-47619"	46
"USECV011"	"CDQFG:Benzene-Blood"	"Data quality flag for CONCV011"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"4"	47
"CMTCV011"	"CDQI:Benzene-Blood"	"Data quality indicator for CONCV011"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	48
"DFLCV011"	"CDTIN:Benzene-Blood"	"100*Detection indicator for CONCV011"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"12400"	49
"UNTCV011"	"CUNIT:Benzene-Blood"	"Measurement units  for CONCV011"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	50
"AN1CV011"	"FCONC:Benzene-Blood"	"Final concentration for V011"	"NUMBER"	14	"F14.7"	""	""	".028"	"2.2"	""	""	"P"	""	"37.66178"	51
