"COL_NAME"	"COLLABEL"	"EXT_DESC"	"DATATYPE"	"COLWIDTH"	"COL_FMT"	"UNITS"	"PRMRYKEY"	"MINIMUM"	"MAXIMUM"	"MISSVALS"	"WT_NAME"	"WT_TYPE"	"COMMENTS"	"CHECKSUM"	"COL_NUM"
"MATRIX"	"Sampling medium"	""	"NUMBER"	2	"F2.0"	""	""	"6"	"6"	""	""	"N"	"Important: Read about data constraints in the readme file or in EIMS"	"990"	1
"ANLYTCLS"	"Analyte class"	""	"CHARACTER"	1	"A1"	""	""	""	""	""	""	"N"	""	""	2
"SAMP_LOC"	"Sampling location"	""	"NUMBER"	2	"F2.0"	""	""	"1"	"1"	""	""	"N"	""	"165"	3
"VISIT"	"Visit number for household"	""	"CHARACTER"	1	"A1"	""	""	""	""	""	""	"N"	""	""	4
"SAMPMTHD"	"Sampling method"	""	"NUMBER"	2	"F2.0"	""	""	"9"	"9"	""	""	"N"	""	"1485"	5
"SAMPDEVC"	"Sampling device"	""	"NUMBER"	2	"F2.0"	""	""	"10"	"10"	""	""	"N"	""	"1650"	6
"ANLYTMTH"	"Analytical method"	""	"NUMBER"	2	"F2.0"	""	""	"3"	"3"	""	""	"N"	""	"495"	7
"SURVID"	"SURVID"	""	"CHARACTER"	8	"A8"	""	""	""	""	""	""	"N"	""	""	8
"PARID"	"Participant ID"	""	"CHARACTER"	3	"A3"	""	""	""	""	""	""	"N"	""	""	9
"STRTDATE"	"Start Date for Samp_id"	""	"NUMBER"	8	"F8.0"	""	""	"19950731"	"19970523"	""	""	"N"	""	"3293473468"	10
"STOPDATE"	"End Date for Samp_id"	""	"NUMBER"	8	"F8.0"	""	""	""	""	"-9999999"	""	"N"	""	"-1649999835"	11
"SAMP_ID"	"Sample ID"	""	"CHARACTER"	8	"A8"	""	"P"	""	""	""	""	"N"	""	""	12
"SMPTPCDC"	"Sample type code for concentration"	"Sample type code - combination of sampling medium, analyte class, sampling location, and sampling method"	"CHARACTER"	3	"A3"	""	""	""	""	""	""	"N"	""	""	13
"SMPTPCDL"	"Sample type code for loading"	"Sample type code - combination of sampling medium, analyte class, sampling location, and sampling method"	"CHARACTER"	3	"A3"	""	""	""	""	""	""	"N"	""	""	14
"SMPTPCDI"	"Sample type code for intake"	"Sample type code - combination of sampling medium, analyte class, sampling location, and sampling method"	"CHARACTER"	3	"A3"	""	""	""	""	""	""	"N"	""	""	15
"SAMPTYPE"	"Sample type description"	""	"CHARACTER"	25	"A25"	""	""	""	""	""	""	"N"	""	""	16
"REPFLG"	"Replicate flag"	""	"NUMBER"	1	"F1.0"	""	""	"0"	"1"	""	""	"N"	""	"12"	17
"APSU"	"Primary sampling unit"	""	"NUMBER"	2	"F2.0"	""	""	"2"	"33"	""	""	"N"	""	"2932"	18
"ASTRATUM"	"Analysis stratum"	""	"NUMBER"	1	"F1.0"	""	""	"1"	"4"	""	""	"N"	""	"394"	19
"VWTNAM"	"Name of visit-specific sampling wt"	""	"CHARACTER"	8	"A8"	""	""	""	""	""	""	"N"	""	""	20
"CWTNAM"	"Name of combined sampling wt"	""	"CHARACTER"	8	"A8"	""	""	""	""	""	""	"N"	""	""	21
"AWTNAM"	"Name of annualized sampling wt"	""	"CHARACTER"	8	"A8"	""	""	""	""	""	""	"N"	""	""	22
"VSAMPWT"	"Visit-specific sampling wt"	""	"NUMBER"	11	"F11.3"	""	""	"21368.144"	"1476836.08"	""	""	"N"	""	"47751117.02"	23
"CSAMPWT"	"Combined sampling wt"	""	"NUMBER"	11	"F11.3"	""	""	"21368.144"	"1476836.08"	""	""	"N"	""	"47751117.02"	24
"ASAMPWT"	"Annualized sampling wt"	""	"NUMBER"	11	"F11.3"	""	""	"23364.447"	"1088122.277"	""	""	"N"	""	"47751117.001"	25
"CIDM003"	"M003 - Cadmium"	"M003 - Cadmium: Chemid in Region_5 = 213"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	26
"CONCM003"	"CONC:Cadmium-Blood"	"Concentration for M003"	"NUMBER"	14	"F14.7"	""	""	".16"	"8.6"	""	""	"P"	""	"131.1"	27
"DLCM003"	"CDTLM:Cadmium-Blood"	"Detection limit or Quantitation limit for CONCM003"	"NUMBER"	14	"F14.7"	""	""	".3"	".3"	"-333"	""	"N"	""	"-33280.5"	28
"USECM003"	"CDQFG:Cadmium-Blood"	"Data quality flag for CONCM003"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"1"	29
"CMTCM003"	"CDQI:Cadmium-Blood"	"Data quality indicator for CONCM003"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	30
"DFLCM003"	"CDTIN:Cadmium-Blood"	"100*Detection indicator for CONCM003"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"10000"	31
"UNTCM003"	"CUNIT:Cadmium-Blood"	"Measurement units  for CONCM003"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	32
"AN1CM003"	"FCONC:Cadmium-Blood"	"Final concentration for M003"	"NUMBER"	14	"F14.7"	""	""	".16"	"8.85"	""	""	"P"	""	"131.605"	33
"AN2CM003"	"FCDTN:Cadmium-Blood"	"100*Detection indicator for AN1CM003"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"10100"	34
"CIDM006"	"M006 - Lead"	"M006 - Lead: Chemid in Region_5 = 216"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	35
"CONCM006"	"CONC:Lead-Blood"	"Concentration for M006"	"NUMBER"	14	"F14.7"	""	""	".4"	"13.1"	""	""	"P"	""	"375.6"	36
"DLCM006"	"CDTLM:Lead-Blood"	"Detection limit or Quantitation limit for CONCM006"	"NUMBER"	14	"F14.7"	""	""	".6"	".6"	"-333"	""	"N"	""	"-52943.4"	37
"USECM006"	"CDQFG:Lead-Blood"	"Data quality flag for CONCM006"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"1"	38
"CMTCM006"	"CDQI:Lead-Blood"	"Data quality indicator for CONCM006"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	39
"DFLCM006"	"CDTIN:Lead-Blood"	"100*Detection indicator for CONCM006"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"15900"	40
"UNTCM006"	"CUNIT:Lead-Blood"	"Measurement units  for CONCM006"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	41
"AN1CM006"	"FCONC:Lead-Blood"	"Final concentration for M006"	"NUMBER"	14	"F14.7"	""	""	".4"	"13.1"	""	""	"P"	""	"374.3"	42
"AN2CM006"	"FCDTN:Lead-Blood"	"100*Detection indicator for AN1CM006"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"16000"	43
